ITEM,DESCRIPTION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
56312131,FOLIO 4WHL TS LTMX ICS MRIDIAN,0,62,62,69,72,56,72,69,66,61,20,40
56412030,FLPSDE TS LTMX ICS GLNBARR GRY,0,68,66,68,68,0,0,0,0,0,0,0
57012030,ROUNDTRIP TS LTMX ICS GLNBR GY,0,0,0,0,0,0,0,0,0,0,0,0
57112254,PVT XPANDTS W/SFEMAX PERCHERON,0,580,197,312,312,559,375,375,378,671,561,340
57112255,PVT XPAND TS W/SFEMAX STALLION,0,576,548,549,549,907,549,549,364,482,160,490
57312205,FOLIO 3 STRLR & JOG TS AVENUE ,0,218,213,642,483,509,500,500,375,243,450,574
57312220,FOLIO 3WHL SPORT TS LTMX SKYLN,0,65,61,99,113,200,100,100,90,75,86,80
57312220A       ,FOLIO 3WHL SPORT TS LTMX SKYLN,0,0,0,0,0,0,0,0,0,0,0,0
57312229,FOLIO 3WHL SPORT TS LTMX PLAZA,0,0,0,0,0,0,0,0,0,0,0,0
60411676,DOORWAY JUMPER OWL            ,277,0,0,0,2737,2639,0,0,4546,0,0,0
60411677,DOORWAY JUMPER MARIANNA       ,0,0,0,0,800,772,0,0,276,640,0,0
60411696,EXERSAUCER DOOR JUMPER CIRCUS ,0,0,0,0,0,0,0,0,0,0,0,0
60411809,EXERDOORJUMPER ANIMAL FAMILIES,0,0,0,0,0,0,0,0,0,0,0,0
60412014,EXERDOORJUMPER SAFARI TREK    ,0,0,0,0,0,0,0,0,0,0,0,0
60412015,EXERDOORJUMPER FLOWER PARTY   ,0,0,0,0,0,0,0,0,0,0,0,0
60412151,EXER DOORWAY JUMPER GONE FSHNG,0,0,0,0,0,0,0,0,0,0,0,0
60412323,EXER DOOR JMPR PINK STAR POWER,120,60,146,300,0,288,300,300,86,2,273,379
60412324,EXER DOORWAY JMPR STAR POWER  ,233,80,236,350,0,336,350,350,932,84,143,751
60421378,JOEY JUMP UP-ROO              ,0,279,237,396,291,207,0,0,0,0,0,411
60422151,EXER DWY JUMPER GONE FSHNG PDQ,0,0,0,0,0,0,0,0,0,0,0,0
60441449,JJU BUMBLY DOOR JUMP BT       ,0,0,0,0,0,0,0,0,0,0,0,0
60511372,ZOO FRIENDS EXERSAUCER DLX    ,116,0,0,0,0,0,0,0,0,0,0,0
60512223,ACTIVITY SEAT DWJ TINY TROPICS,0,0,0,0,0,0,0,0,0,0,0,0
60522223,ACTIVITY SEAT DWJ TINY TROPICS,122,50,108,113,100,100,100,100,95,100,83,130
61611415,EXERSAUCER BOUNCIN BARNYARD   ,0,0,0,0,0,0,0,0,0,0,0,0
61611449,EXER DOUBLE FUN SAUCER BUMBLY ,0,77,147,140,140,85,96,0,80,0,0,0
61611767,FASTFOLD & GO BOUNCE-A-SAURUS ,0,12,12,12,12,0,0,0,0,0,0,0
61611769,FASTFOLDGO DINO WITH BAG      ,0,1,1,1,1,0,0,0,0,0,1,9
61611848,EXER DOUBLEFUN SAUCER PBUMBLY ,0,0,0,0,0,0,0,0,0,0,0,0
61611938,EXER MEGA MOOVIN GROOVIN      ,0,0,0,0,0,0,0,0,0,0,0,0
61612199,EXER MEGA PLAYFUL PASTURES    ,0,0,0,0,0,0,0,0,0,0,0,0
6161948,EXERSAUCER MEGA SPLASH        ,15,110,55,0,20,20,0,0,692,861,0,0
6164920,EXER SWEET TEA PARTY SAUCER   ,0,0,0,0,0,0,0,0,0,0,0,0
61731197,EXER SAFARI FRIENDS           ,338,0,0,0,0,0,0,0,0,0,0,0
61731198,EXER JUMP&LEARN JUNGLEQUEST   ,0,0,0,0,0,0,0,0,0,0,0,0
61731199,EXER JUMP&LEARN JAM SESSION   ,4,151,261,145,87,288,0,0,251,240,0,0
61812117,EXER POLAR PLAYGRND ACT CTR   ,0,0,0,0,0,0,0,0,0,0,0,0
61912186,WOOD FRME JUMPER WOODLAND WNDR,0,100,73,75,5,5,0,0,0,0,0,0
62311422,TRIPLE FUN AMAZON             ,0,0,0,0,400,537,0,0,0,0,0,0
62311880,EXER TRPFN WRLDEXPLR W FBRMAT ,0,0,0,0,0,0,0,0,0,0,0,0
62912142,2IN1 BNC ACT CTR ART TBL GLSEA,0,0,0,0,0,0,0,0,0,0,0,0
62922142,2IN1 BNC ACTCTRARTTBL GLSEA RW,29,0,0,0,0,0,0,0,0,0,0,0
630060,PARALLEL ADAPTER GRACO CHICCO ,0,0,0,0,0,0,0,0,0,0,0,0
63012254,PVT XPND STRL SCNDSEAT PRCHRN ,0,84,78,83,83,386,100,100,156,84,92,96
63012255,PVT XPAND SECOND SEAT STALLION,0,214,210,214,214,372,150,150,21,60,31,41
63012310,GOLD PVTXPND 2NDSEAT ONYX     ,0,0,0,0,0,0,0,0,0,0,0,0
63012311,GOLD PVTXPND 2NDSEAT MOONSTONE,0,0,0,0,0,0,0,0,0,0,0,0
63012312,GOLD PVTXPND 2NDSEAT SAPPHIRE ,0,0,0,0,0,0,0,0,0,0,0,0
630421,RAIN CARRIER COVER            ,27,188,94,67,70,55,70,67,64,48,60,61
630422,CAR WINDOW CLING SHADES       ,12,67,63,67,67,192,200,200,77,62,28,48
630423,CAR SEAT KICK MAT             ,6,185,88,71,75,10,10,10,0,0,0,0
630424,STRLLR ACCSSRIES STARTER KIT  ,75,1229,651,394,394,364,450,450,72,36,276,447
630425,DELUXE CAR SEAT UNDERMAT      ,12,250,114,117,117,105,117,117,117,107,0,0
630426,UNIVERSAL CUP HOLDER          ,50,180,49,56,63,54,60,60,60,36,31,7
630427,CAR SEAT TRAVEL BAG           ,2,155,150,155,155,141,175,175,24,141,75,100
630429,DELUX BACKSEAT ORGANIZER      ,2,63,60,63,63,57,25,25,25,11,9,9
630430,ARM CUSHION                   ,0,0,0,0,0,0,0,0,0,0,0,0
630431,BACKSEAT BABY MIRROR          ,80,150,142,177,177,165,245,245,245,236,35,128
630432,REVERSIBLE STRAP COVERS       ,50,0,0,0,0,0,0,0,0,0,0,0
630433,STROLLER ORGANIZER            ,4,177,175,177,177,165,275,275,140,333,100,124
630434,STROLLER NETTING              ,2,150,145,150,150,288,400,400,24,143,10,10
630436,STROLLER WEATHER SHIELD       ,20,96,91,96,46,51,53,53,53,34,28,30
630437,CARSEAT ACCESS STARTER KIT    ,2,15,16,17,18,25,25,25,25,18,15,15
630439,PIVOT XPAND RIDER BOARD       ,0,0,0,0,0,386,150,150,64,150,103,207
630440,PIVOT XPAND CAR SEAT ADAPTER  ,8,35,55,75,100,111,75,75,75,75,50,75
630446,CHILD TRAY ACCESS ARCTIC BLUE ,0,0,0,0,0,0,0,0,0,0,0,0
6391600,LITEMAX 35 BASE               ,0,877,874,653,3218,1155,90,2105,2384,1508,1341,2300
6391700,SAFEMAX ICS BASE              ,0,521,209,314,500,48,50,50,35,154,582,953
64021461,NURTURE BLACK BASE            ,0,0,0,0,0,0,0,0,0,0,0,0
6411000,LITEMAX DLX BASE              ,0,0,0,0,0,12,25,0,0,0,0,0
6622100,POSITION & LOCK TALL GATE .COM,0,5346,3563,3564,3564,3440,3150,3250,1914,432,4059,3400
6624310,POSITION AND LOCK TALL FRMHSE ,0,1975,1478,1481,1481,1721,5000,2750,2403,2089,4241,3534
70211874,PBS DLX PLYYRD HAYDEN DOT     ,14,45,18,19,19,17,19,19,0,0,0,0
70211881,PBS DLX DAPHNE                ,0,66,84,48,89,31,59,116,79,0,0,0
70211894,PBS DLX SPEARMINT SPREE       ,0,126,121,131,203,167,203,180,46,0,0,0
70212307,PBS DLX PRISM                 ,0,0,0,0,0,10,50,100,89,159,171,306
70212315,PBS DLX POP STAR              ,0,0,0,0,0,11,26,51,28,77,65,138
70212316,PBS DLX POPPY                 ,0,0,0,0,0,11,69,137,54,183,63,65
70221215,PBS DELUXE KOI                ,0,153,24,26,27,0,0,0,98,0,0,0
70221234,PBS DELUXE MARIANNA           ,17,22,17,11,5,28,95,60,0,0,0,0
70221894,PBS DLX PY SPEARMINT SPREE    ,0,0,0,0,0,0,0,0,0,0,0,0
70511936,ARDEN PLAYYARD H965 SKY BLUE  ,0,0,0,0,0,0,0,0,0,0,0,0
70712108,PTBLE BBYST CLSSC PLYRD P OCHD,0,0,0,0,420,404,0,0,0,0,14,305
70712109,PTBLE BBYST CLSSC PLYRD SLVRDO,0,0,0,0,925,893,0,0,0,0,195,927
70812110,ARENA 4 IN 1 PLAYARD DASH     ,0,0,0,0,0,0,0,0,0,0,0,0
